Card Name,Rating - Draftmancer,Rating - AF,Set,Source,Notes
Maleficent - Sorceress,5,A,1,Fortyborn,
Kuzco - Temperamental Emperor,5,A-,1,Fortyborn,
Genie - The Ever Impressive,5,A-,1,Fortyborn,
Dr. Facilier - Agent Provocateur,5,A-,1,Fortyborn,
Hades - Infernal Schemer,5,A-,1,Fortyborn,
Stitch - Carefree Surfer,5,A-,1,Fortyborn,
The Queen - Wicked and Vain,5,A-/B+,1,Fortyborn,
Rapunzel - Gifted with Healing,5,A+,1,Fortyborn,
Grab Your Sword,5,A+,1,Fortyborn,
Stitch - Rock Star,5,A+,1,Fortyborn,
Tinker Bell - Giant Fairy,5,A+,1,Fortyborn,
Fire the Cannons!,3,B,1,Fortyborn,
Flynn Rider - Charming Rogue,3,B,1,Fortyborn,
Hades - Lord of the Underworld,3,B,1,Fortyborn,
Pongo - Ol' Rascal,3,B,1,Fortyborn,
Simba - Protective Cub,3,B,1,Fortyborn,
Goofy - Daredevil,3,B,1,Fortyborn,
Jasmine - Queen of Agrabah,3,B,1,Fortyborn,
Mad Hatter - Gracious Host,3,B,1,Fortyborn,
Mulan - Imperial Soldier,3,B,1,Fortyborn,
Mother Gothel - Selfish Manipulator,3,B,1,Fortyborn,
Robin Hood - Unrivaled Archer,3,B,1,Fortyborn,
Te Ka - Heartless,3,B,1,Fortyborn,
Tigger - Wonderful Thing,3,B,1,Fortyborn,
Aladdin - Cornered Swordsman,3,B,1,Fortyborn,
Elsa - Spirit of Winter,3,B,1,Fortyborn,
Simba - Protective Cub,3,B,1,Fortyborn,
Ursula's Cauldron,3,B,1,Fortyborn,
Develop Your Brain,2,B-,1,Fortyborn,
Cruella De Vil - Miserable As Usual,2,B-,1,Fortyborn,
Magic Mirror,2,B-,1,Fortyborn,
Philoctetes - Trainer of Heroes,2,B-,1,Fortyborn,
Elsa - Spirit of Winter,2,B-,1,Fortyborn,
Maleficent - Sorceress,2,B-,1,Fortyborn,
Mother Knows Best,2,B-,1,Fortyborn,
Peter Pan - Never Landing,2,B-,1,Fortyborn,
Smash,2,B-,1,Fortyborn,
Tinker Bell - Tiny Tactician,2,B-,1,Fortyborn,
Elsa - Snow Queen,2,B-,1,Fortyborn,
Aurora - Briar Rose,2,B-,1,Fortyborn,
Aurora - Dreaming Guardian,2,B-,1,Fortyborn,
Donald Duck - Musketeer,2,B-,1,Fortyborn,
Jetsam - Ursula's Spy,2,B-,1,Fortyborn,
Merlin - Self-Appointed Mentor,2,B-,1,Fortyborn,
Simba - Returned King,2,B-,1,Fortyborn,
Tinker Bell - Peter Pan's Ally,2,B-,1,Fortyborn,
Maleficent - Sorceress,2,B-,1,Fortyborn,
Aurora - Regal Princess,2,B-,1,Fortyborn,
Beast - Wolfsbane,2,B-,1,Fortyborn,
Goofy - Musketeer,2,B-,1,Fortyborn,
Tinker Bell - Tiny Tactician,2,B-,1,Fortyborn,
Kronk - Right-Hand Man,2,B-,1,Fortyborn,
Mufasa - King of the Pride Lands,2,B-,1,Fortyborn,
Mickey Mouse - Musketeer,2,B-,1,Fortyborn,
Chief Tui - Respected Leader,2,B-,1,Fortyborn,
Mickey Mouse - Brave Little Tailor,2,B-,1,Fortyborn,
Stitch - Abomination,2,B-,1,Fortyborn,
Hans - Thirteenth in Line,3,B-/B,1,Fortyborn,
Beast's Mirror,3,B/B-,1,Fortyborn,
Friends On The Other Side,4,B+,1,Fortyborn,
Tinker Bell - Most Helpful,4,B+,1,Fortyborn,
Dragon Fire,4,B+,1,Fortyborn,
Let It Go,4,B+,1,Fortyborn,
Maui - Demigod,4,B+,1,Fortyborn,
Maximus - Palace Horse,4,B+,1,Fortyborn,
John Silver - Alien Pirate,4,B+,1,Fortyborn,
Marshmallow - Persistent Guardian,4,B+,1,Fortyborn,
Scar - Mastermind,4,B+,1,Fortyborn,
Be Prepared,4,B+,1,Fortyborn,
Archimedes - Highly Educated Owl,1,C,1,Fortyborn,
Minnie Mouse - Beloved Princess,1,C,1,Fortyborn,
Pascal - Rapunzel's Companion,1,C,1,Fortyborn,
Donald Duck - Musketeer,1,C,1,Fortyborn,
Duke Of Weselton - Opportunistic Official,1,C,1,Fortyborn,
Goons - Maleficent's Underlings,1,C,1,Fortyborn,
Lefou - Instigator,1,C,1,Fortyborn,
Yzma - Alchemist,1,C,1,Fortyborn,
Jasmine - Queen of Agrabah,1,C,1,Fortyborn,
Lilo - Galactic Hero,1,C,1,Fortyborn,
Mickey Mouse - Steamboat Pilot,1,C,1,Fortyborn,
Mr. Smee - Loyal First Mate,1,C,1,Fortyborn,
Elsa - Queen Regent,1,C,1,Fortyborn,
Maleficent - Sorceress,1,C,1,Fortyborn,
Pumbaa - Friendly Warthog,1,C,1,Fortyborn,
Ariel - On Human Legs,1,C,1,Fortyborn,
Mickey Mouse - Wayward Sorcerer,1,C,1,Fortyborn,
Kristoff - Official Ice Master,1,C,1,Fortyborn,
Flotsam - Ursula's Spy,1,C,1,Fortyborn,
Moana - Of Motunui,1,C,1,Fortyborn,
Simba - Rightful Heir,1,C,1,Fortyborn,
Maurice - World-Famous Inventor,1,C,1,Fortyborn,
Sergeant Tibbs - Courageous Cat,1,C,1,Fortyborn,
Stitch - New Dog,1,C,1,Fortyborn,
The Wardrobe - Belle's Confidant,1,C,1,Fortyborn,
Maui - Demigod,1,C,1,Fortyborn,
Genie - The Ever Impressive,1,C,1,Fortyborn,
Flounder - Voice of Reason,1,C,1,Fortyborn,
Scepter Of Arendelle,1,C-,1,Fortyborn,
Aladdin - Cornered Swordsman,1,C-,1,Fortyborn,
Gaston - Arrogant Hunter,1,C-,1,Fortyborn,
Lefou - Bumbler,1,C-,1,Fortyborn,
Tamatoa - Drab Little Crab,1,C-,1,Fortyborn,
Abu - Mischievous Monkey,1,C-,1,Fortyborn,
Horace - No-Good Scoundrel,1,C-,1,Fortyborn,
Belle - Strange but Special,1,C-,1,Fortyborn,
Dr. Facilier - Remarkable Gentleman,1,C-,1,Fortyborn,
Jasper - Common Crook,1,C-,1,Fortyborn,
Part of Your World,1,C-,1,Fortyborn,
Peter Pan - Fearless Fighter,1,C-,1,Fortyborn,
Scar - Fiery Usurper,1,C-,1,Fortyborn,
Scar - Mastermind,1,C-,1,Fortyborn,
Simba - Rightful Heir,1,C-,1,Fortyborn,
Moana - Chosen by the Ocean,1,C-,1,Fortyborn,
Ursula's Cauldron,1,C-/D+,1,Fortyborn,
Captain Hook - Thinking a Happy Thought,1,C-/D+,1,Fortyborn,
Captain Hook - Ruthless Pirate,1,C-/D+,1,Fortyborn,
Captain Hook - Thinking a Happy Thought,1,C+,1,Fortyborn,
Lilo - Making a Wish,1,C+,1,Fortyborn,
Aurora - Regal Princess,1,C+,1,Fortyborn,
Coconut Basket,1,C+,1,Fortyborn,
Prince Eric - Dashing and Brave,1,C+,1,Fortyborn,
Cheshire Cat - Not All There,1,C+,1,Fortyborn,
Hercules - True Hero,1,C+,1,Fortyborn,
White Rabbit's Pocket Watch,1,C+,1,Fortyborn,
Cinderella - Gentle and Kind,1,C+,1,Fortyborn,
Jafar - Wicked Sorcerer,1,C+,1,Fortyborn,
Prince Phillip - Dragonslayer,1,C+,1,Fortyborn,
Captain - Colonel's Lieutenant,1,C+,1,Fortyborn,
Captain Hook - Forceful Duelist,1,C+,1,Fortyborn,
Simba - Future King,1,C+,1,Stopthief,
You Have Forgotten Me,1,C+,1,Fortyborn,
Zeus - God of Lightning,1,C+,1,Fortyborn,
Captain Hook - Thinking a Happy Thought,1,C+,1,Fortyborn,
Jumba Jookiba - Renegade Scientist,1,C+,1,Fortyborn,
Beast - Hardheaded,1,C+,1,Fortyborn,
Captain Hook - Thinking a Happy Thought,1,C+,1,Fortyborn,
Sven - Official Ice Deliverer,1,C+,1,Fortyborn,
Te Ka - The Burning One,1,C+,1,Fortyborn,
Triton - The Sea King,1,C+,1,Fortyborn,
Captain Hook - Thinking a Happy Thought,1,C+,1,Fortyborn,
Be Our Guest,1,C+/B-,1,Fortyborn,
Maximus - Relentless Pursuer,1,C+/B-,1,Fortyborn,
Rafiki - Mysterious Sage,1,C+/B-,1,Fortyborn,
Hans - Scheming Prince,1,C+/B-,1,Fortyborn,
Cerberus - Three-Headed Dog,1,C+/B-,1,Fortyborn,
Control Your Temper!,0,D,1,Fortyborn,
Shield of Virtue,0,D,1,Fortyborn,
Dr. Facilier - Charlatan,0,D,1,Fortyborn,
Gramma Tala - Storyteller,0,D,1,Fortyborn,
Magic Broom - Bucket Brigade,0,D,1,Fortyborn,
One Jump Ahead,0,D,1,Fortyborn,
Sebastian - Court Composer,0,D,1,Fortyborn,
Ariel - Spectacular Singer,0,D,1,Fortyborn,
Iago - Loud-Mouthed Parrot,0,D,1,Fortyborn,
Plasma Blaster,0,D,1,Fortyborn,
Hades - King of Olympus,0,D,1,Fortyborn,
Befuddle,0,D-,1,Fortyborn,
He's Got a Sword!,0,D-,1,Fortyborn,
Healing Glow,0,D-,1,Fortyborn,
Magic Golden Flower,0,D-,1,Fortyborn,
Stampede,0,D-,1,Fortyborn,
Timon - Grub Rustler,0,D-,1,Fortyborn,
Vicious Betrayal,0,D-,1,Fortyborn,
Ransack,0,D-,1,Fortyborn,
Stolen Scimitar,0,D-,1,Fortyborn,
Ariel - Whoseit Collector,0,D-,1,Fortyborn,
Hakuna Matata,0,D-,1,Fortyborn,
Lady Tremaine - Wicked Stepmother,0,D-,1,Fortyborn,
Aladdin - Cornered Swordsman,0,D-/F,1,Fortyborn,
Poisoned Apple,0,D-/F,1,Fortyborn,
Dinglehopper,0,D+,1,Fortyborn,
HeiHei - Boat Snack,0,D+,1,Fortyborn,
Olaf - Friendly Snowman,0,D+,1,Fortyborn,
Aladdin - Prince Ali,0,D+,1,Fortyborn,
Lantern,0,D+,1,Fortyborn,
Megara - Pulling the Strings,0,D+,1,Fortyborn,
Mickey Mouse - Detective,0,D+,1,Fortyborn,
Anna - Heir to Arendelle,0,D+,1,Fortyborn,
Belle - Strange but Special,0,D+,1,Fortyborn,
Elsa - Ice Surfer,0,D+,1,Fortyborn,
Minnie Mouse - Always Classy,0,D+,1,Fortyborn,
Jafar - Keeper of Secrets,0,D+,1,Fortyborn,
A Whole New World,0,D+,1,Fortyborn,
Donald Duck - Musketeer,0,D+,1,Fortyborn,
Starkey - Hook's Henchman,0,D+,1,Fortyborn,
Rapunzel - Gifted with Healing,0,D+,1,Fortyborn,
Gantu - Galactic Federation Captain,0,D+,1,Fortyborn,
Mickey Mouse - Artful Rogue,0,D+,1,Fortyborn,
Scar - Mastermind,0,D+,1,Fortyborn,
Tamatoa - Drab Little Crab,0,D+,1,Fortyborn,
Fan The Flames,0,F,1,Fortyborn,
Reflection,0,F,1,Fortyborn,
Work Together,0,F,1,Fortyborn,
Break,0,F,1,Fortyborn,
Dr. Facilier's Cards,0,F,1,Fortyborn,
Freeze,0,F,1,Fortyborn,
Frying Pan,0,F,1,Fortyborn,
Sudden Chill,0,F,1,Fortyborn,
Tangle,0,F,1,Fortyborn,
Do It Again!,0,F,1,Fortyborn,
Fishbone Quill,0,F,1,Fortyborn,
If It's Not Baroque,0,F,1,Fortyborn,
Just in Time,0,F,1,Fortyborn,
The Beast is Mine!,0,F,1,Fortyborn,
Ursula's Shell Necklace,0,F,1,Fortyborn,
Eye of the Fates,0,F,1,Fortyborn,
Musketeer Tabard,0,F,1,Fortyborn,
Sword of Truth,0,F,1,Fortyborn,
Steal from the Rich,0,F,1,Fortyborn,
Cut to the Chase,0,F/D-,1,Fortyborn,
Fairy Godmother - Mystic Armorer,5,A,2,Frank Karsten,
Cogsworth - Grandfather Clock,5,A,2,Frank Karsten,
Beast - Tragic Hero,5,A,2,Frank Karsten,
Beast - Relentless,5,A,2,Frank Karsten,
The Queen - Commanding Presence,5,A,2,Frank Karsten,
Kronk - Junior Chipmunk,5,A,2,Frank Karsten,
Yzma - Scary Beyond All Reason,5,A,2,Frank Karsten,
Snow White - Well Wisher,5,A,2,Frank Karsten,
Lady Tremaine - Imperious Queen,5,A,2,Frank Karsten,
Beast - Selfless Protector,5,A,2,Frank Karsten,
Scar - Vicious Cheater,3,B,2,Frank Karsten,
Namaari - Nemesis,3,B,2,Frank Karsten,
Rabbit - Reluctant Host,3,B,2,Frank Karsten,
Flynn Rider - His Own Biggest Fan,3,B,2,Frank Karsten,
Cobra Bubbles - Just a Social Worker,3,B,2,Frank Karsten,
Madam Mim - Purple Dragon,3,B,2,Frank Karsten,
Daisy Duck - Secret Agent,3,B,2,Frank Karsten,
Winnie The Pooh - Hunny Wizard,3,B,2,Frank Karsten,
Virana - Fang Chief,3,B,2,Frank Karsten,
Card Soldiers - Full Deck,3,B,2,Frank Karsten,
Happy - Good-Natured,3,B,2,Frank Karsten,
Fairy Godmother - Pure Heart,3,B,2,Frank Karsten,
Li Shang - Archery Instructor,3,B,2,Frank Karsten,
Fairy Godmother - Here to Help,3,B,2,Frank Karsten,
Yzma - Without Beauty Sleep,3,B,2,Frank Karsten,
Donald Duck - Not Again!,3,B,2,Frank Karsten,
Queen of Hearts - Capricious Monarch,3,B,2,Frank Karsten,
Donald Duck - Deep-Sea Diver,3,B,2,Frank Karsten,
Ratigan - Criminal Mastermind,3,B,2,Frank Karsten,
Sleepy - Nodding Off,3,B,2,Frank Karsten,
King Louie - Jungle VIP,3,B,2,Frank Karsten,
Madam Mim - Snake,3,B,2,Frank Karsten,
The Prince - Never Gives Up,3,B,2,Frank Karsten,
Hypnotize,3,B,2,Frank Karsten,
Mulan - Soldier in Training,2,B-,2,Frank Karsten,
Tuk Tuk - Wrecking Ball,2,B-,2,Frank Karsten,
Lumiere - Hotheaded Candelabra,2,B-,2,Frank Karsten,
Pawpsicle,2,B-,2,Frank Karsten,
Snow White - Lost in the Forest,2,B-,2,Frank Karsten,
Ring The Bell,2,B-,2,Frank Karsten,
Painting the Roses Red,2,B-,2,Frank Karsten,
Fidget - Ratigan's Henchman,2,B-,2,Frank Karsten,
Improvise,2,B-,2,Frank Karsten,
The Queen - Regal Monarch,2,B-,2,Frank Karsten,
Charge!,2,B-,2,Frank Karsten,
Chip the Teacup - Gentle Soul,2,B-,2,Frank Karsten,
Owl - Logical Lecturer,2,B-,2,Frank Karsten,
Cruella De Vil - Perfectly Wretched,2,B-,2,Frank Karsten,
Lawrence - Jealous Manservant,2,B-,2,Frank Karsten,
Grand Pabbie - Oldest and Wisest,2,B-,2,Frank Karsten,
Cheshire Cat - From the Shadows,2,B-,2,Frank Karsten,
Raya - Leader of Heart,2,B-,2,Frank Karsten,
Queen of Hearts - Sensing Weakness,4,B+,2,Frank Karsten,
Gaston - Intellectual Powerhouse,4,B+,2,Frank Karsten,
Alice - Growing Girl,4,B+,2,Frank Karsten,
Sisu - Divine Water Dragon,4,B+,2,Frank Karsten,
Belle - Hidden Archer,4,B+,2,Frank Karsten,
Hercules - Divine Hero,4,B+,2,Frank Karsten,
Mufasa - Betrayed Leader,4,B+,2,Frank Karsten,
Merlin - Rabbit,4,B+,2,Frank Karsten,
Pacha - Village Leader,4,B+,2,Frank Karsten,
Little John - Loyal Friend,4,B+,2,Frank Karsten,
Jafar - Dreadnought,4,B+,2,Frank Karsten,
Strength of a Raging Fire,4,B+,2,Frank Karsten,
World's Greatest Criminal Mind,4,B+,2,Frank Karsten,
Let the Storm Rage On,4,B+,2,Frank Karsten,
Cinderella - Stouthearted,4,B+,2,Frank Karsten,
Merlin - Crab,4,B+,2,Frank Karsten,
Minnie Mouse - Stylish Surfer,4,B+,2,Frank Karsten,
Lucifer - Cunning Cat,4,B+,2,Frank Karsten,
Madam Mim - Fox,4,B+,2,Frank Karsten,
Shere Khan - Menacing Predator,4,B+,2,Frank Karsten,
Dr. Facilier - Fortune Teller,4,B+,2,Frank Karsten,
HeiHei - Persistent Presence,4,B+,2,Frank Karsten,
Peter Pan's Shadow - Not Sewn On,4,B+,2,Frank Karsten,
Ray - Easygoing Firefly,4,B+,2,Frank Karsten,
Chief Bogo - Respected Officer,1,C,2,Frank Karsten,
Enchantress - Unexpected Judge,1,C,2,Frank Karsten,
Kuzco - Wanted Llama,1,C,2,Frank Karsten,
Basil - Of Baker Street,1,C,2,Frank Karsten,
James - Role Model,1,C,2,Frank Karsten,
Mother Gothel - Withered and Wicked,1,C,2,Frank Karsten,
Eudora - Accomplished Seamstress,1,C,2,Frank Karsten,
Baloo - Fun-Loving Bear,1,C,2,Frank Karsten,
Prince Naveen - Penniless Royal,1,C,2,Frank Karsten,
Cheshire Cat - Always Grinning,1,C,2,Frank Karsten,
Caterpillar - Calm and Collected,1,C,2,Frank Karsten,
Minnie Mouse - Zipping Around,1,C,2,Frank Karsten,
Tigger - One of a Kind,1,C,2,Frank Karsten,
Basil - Perceptive Investigator,1,C,2,Frank Karsten,
Nothing to Hide,1,C,2,Frank Karsten,
Winnie The Pooh - Having a Think,1,C,2,Frank Karsten,
Nick Wilde - Wily Fox,1,C,2,Frank Karsten,
Benja - Guardian of the Dragon Gem,1,C,2,Frank Karsten,
Gumbo Pot,1,C,2,Frank Karsten,
Arthur - Trained Swordsman,1,C,2,Frank Karsten,
