Card Name,Rating - Draftmancer,Rating - AF,Set,Source,Notes
Maleficent - Sorceress,5,A,1,Fortyborn,
Kuzco - Temperamental Emperor,5,A-,1,Fortyborn,
Genie - The Ever Impressive,5,A-,1,Fortyborn,
Dr. Facilier - Agent Provocateur,5,A-,1,Fortyborn,
Hades - Infernal Schemer,5,A-,1,Fortyborn,
Stitch - Carefree Surfer,5,A-,1,Fortyborn,
The Queen - Wicked and Vain,4,A-/B+,1,Fortyborn,
Rapunzel - Gifted with Healing,5,A+,1,Fortyborn,
Grab Your Sword,5,A+,1,Fortyborn,
Stitch - Rock Star,5,A+,1,Fortyborn,
Tinker Bell - Giant Fairy,5,A+,1,Fortyborn,
Fire the Cannons!,4,B,1,Fortyborn,
Flynn Rider - Charming Rogue,4,B,1,Fortyborn,
Hades - Lord of the Underworld,4,B,1,Fortyborn,
Pongo - Ol' Rascal,4,B,1,Fortyborn,
Simba - Protective Cub,4,B,1,Fortyborn,
Goofy - Daredevil,4,B,1,Fortyborn,
Jasmine - Queen of Agrabah,4,B,1,Fortyborn,
Mad Hatter - Gracious Host,4,B,1,Fortyborn,
Mulan - Imperial Soldier,4,B,1,Fortyborn,
Mother Gothel - Selfish Manipulator,4,B,1,Fortyborn,
Robin Hood - Unrivaled Archer,4,B,1,Fortyborn,
Te Ka - Heartless,4,B,1,Fortyborn,
Tigger - Wonderful Thing,4,B,1,Fortyborn,
Aladdin - Cornered Swordsman,4,B,1,Fortyborn,
Elsa - Spirit of Winter,4,B,1,Fortyborn,
Simba - Protective Cub,4,B,1,Fortyborn,
Ursula's Cauldron,4,B,1,Fortyborn,
Develop Your Brain,4,B-,1,Fortyborn,
Cruella De Vil - Miserable As Usual,4,B-,1,Fortyborn,
Magic Mirror,4,B-,1,Fortyborn,
Philoctetes - Trainer of Heroes,4,B-,1,Fortyborn,
Elsa - Spirit of Winter,4,B-,1,Fortyborn,
Maleficent - Sorceress,4,B-,1,Fortyborn,
Mother Knows Best,4,B-,1,Fortyborn,
Peter Pan - Never Landing,4,B-,1,Fortyborn,
Smash,4,B-,1,Fortyborn,
Tinker Bell - Tiny Tactician,4,B-,1,Fortyborn,
Elsa - Snow Queen,4,B-,1,Fortyborn,
Aurora - Briar Rose,4,B-,1,Fortyborn,
Aurora - Dreaming Guardian,4,B-,1,Fortyborn,
Donald Duck - Musketeer,4,B-,1,Fortyborn,
Jetsam - Ursula's Spy,4,B-,1,Fortyborn,
Merlin - Self-Appointed Mentor,4,B-,1,Fortyborn,
Simba - Returned King,4,B-,1,Fortyborn,
Tinker Bell - Peter Pan's Ally,4,B-,1,Fortyborn,
Maleficent - Sorceress,4,B-,1,Fortyborn,
Aurora - Regal Princess,4,B-,1,Fortyborn,
Beast - Wolfsbane,4,B-,1,Fortyborn,
Goofy - Musketeer,4,B-,1,Fortyborn,
Tinker Bell - Tiny Tactician,4,B-,1,Fortyborn,
Kronk - Right-Hand Man,4,B-,1,Fortyborn,
Mufasa - King of the Pride Lands,4,B-,1,Fortyborn,
Mickey Mouse - Musketeer,4,B-,1,Fortyborn,
Chief Tui - Respected Leader,4,B-,1,Fortyborn,
Mickey Mouse - Brave Little Tailor,4,B-,1,Fortyborn,
Stitch - Abomination,4,B-,1,Fortyborn,
Hans - Thirteenth in Line,4,B-/B,1,Fortyborn,
Beast's Mirror,4,B/B-,1,Fortyborn,
Friends On The Other Side,4,B+,1,Fortyborn,
Tinker Bell - Most Helpful,4,B+,1,Fortyborn,
Dragon Fire,4,B+,1,Fortyborn,
Let It Go,4,B+,1,Fortyborn,
Maui - Demigod,4,B+,1,Fortyborn,
Maximus - Palace Horse,4,B+,1,Fortyborn,
John Silver - Alien Pirate,4,B+,1,Fortyborn,
Marshmallow - Persistent Guardian,4,B+,1,Fortyborn,
Scar - Mastermind,4,B+,1,Fortyborn,
Be Prepared,4,B+,1,Fortyborn,
Archimedes - Highly Educated Owl,3,C,1,Fortyborn,
Minnie Mouse - Beloved Princess,3,C,1,Fortyborn,
Pascal - Rapunzel's Companion,3,C,1,Fortyborn,
Donald Duck - Musketeer,3,C,1,Fortyborn,
Duke Of Weselton - Opportunistic Official,3,C,1,Fortyborn,
Goons - Maleficent's Underlings,3,C,1,Fortyborn,
Lefou - Instigator,3,C,1,Fortyborn,
Yzma - Alchemist,3,C,1,Fortyborn,
Jasmine - Queen of Agrabah,3,C,1,Fortyborn,
Lilo - Galactic Hero,3,C,1,Fortyborn,
Mickey Mouse - Steamboat Pilot,3,C,1,Fortyborn,
Mr. Smee - Loyal First Mate,3,C,1,Fortyborn,
Elsa - Queen Regent,3,C,1,Fortyborn,
Maleficent - Sorceress,3,C,1,Fortyborn,
Pumbaa - Friendly Warthog,3,C,1,Fortyborn,
Ariel - On Human Legs,3,C,1,Fortyborn,
Mickey Mouse - Wayward Sorcerer,3,C,1,Fortyborn,
Kristoff - Official Ice Master,3,C,1,Fortyborn,
Flotsam - Ursula's Spy,3,C,1,Fortyborn,
Moana - Of Motunui,3,C,1,Fortyborn,
Simba - Rightful Heir,3,C,1,Fortyborn,
Maurice - World-Famous Inventor,3,C,1,Fortyborn,
Sergeant Tibbs - Courageous Cat,3,C,1,Fortyborn,
Stitch - New Dog,3,C,1,Fortyborn,
The Wardrobe - Belle's Confidant,3,C,1,Fortyborn,
Maui - Demigod,3,C,1,Fortyborn,
Genie - The Ever Impressive,3,C,1,Fortyborn,
Flounder - Voice of Reason,3,C,1,Fortyborn,
Scepter Of Arendelle,2,C-,1,Fortyborn,
Aladdin - Cornered Swordsman,2,C-,1,Fortyborn,
Gaston - Arrogant Hunter,2,C-,1,Fortyborn,
Lefou - Bumbler,2,C-,1,Fortyborn,
Tamatoa - Drab Little Crab,2,C-,1,Fortyborn,
Abu - Mischievous Monkey,2,C-,1,Fortyborn,
Horace - No-Good Scoundrel,2,C-,1,Fortyborn,
Belle - Strange but Special,2,C-,1,Fortyborn,
Dr. Facilier - Remarkable Gentleman,2,C-,1,Fortyborn,
Jasper - Common Crook,2,C-,1,Fortyborn,
Part of Your World,2,C-,1,Fortyborn,
Peter Pan - Fearless Fighter,2,C-,1,Fortyborn,
Scar - Fiery Usurper,2,C-,1,Fortyborn,
Scar - Mastermind,2,C-,1,Fortyborn,
Simba - Rightful Heir,2,C-,1,Fortyborn,
Moana - Chosen by the Ocean,2,C-,1,Fortyborn,
Ursula's Cauldron,2,C-/D+,1,Fortyborn,
Captain Hook - Thinking a Happy Thought,2,C-/D+,1,Fortyborn,
Captain Hook - Ruthless Pirate,2,C-/D+,1,Fortyborn,
Captain Hook - Thinking a Happy Thought,3,C+,1,Fortyborn,
Lilo - Making a Wish,3,C+,1,Fortyborn,
Aurora - Regal Princess,3,C+,1,Fortyborn,
Coconut Basket,3,C+,1,Fortyborn,
Prince Eric - Dashing and Brave,3,C+,1,Fortyborn,
Cheshire Cat - Not All There,3,C+,1,Fortyborn,
Hercules - True Hero,3,C+,1,Fortyborn,
White Rabbit's Pocket Watch,3,C+,1,Fortyborn,
Cinderella - Gentle and Kind,3,C+,1,Fortyborn,
Jafar - Wicked Sorcerer,3,C+,1,Fortyborn,
Prince Phillip - Dragonslayer,3,C+,1,Fortyborn,
Captain - Colonel's Lieutenant,3,C+,1,Fortyborn,
Captain Hook - Forceful Duelist,3,C+,1,Fortyborn,
Simba - Future King,3,C+,1,Stopthief,
You Have Forgotten Me,3,C+,1,Fortyborn,
Zeus - God of Lightning,3,C+,1,Fortyborn,
Captain Hook - Thinking a Happy Thought,3,C+,1,Fortyborn,
Jumba Jookiba - Renegade Scientist,3,C+,1,Fortyborn,
Beast - Hardheaded,3,C+,1,Fortyborn,
Captain Hook - Thinking a Happy Thought,3,C+,1,Fortyborn,
Sven - Official Ice Deliverer,3,C+,1,Fortyborn,
Te Ka - The Burning One,3,C+,1,Fortyborn,
Triton - The Sea King,3,C+,1,Fortyborn,
Captain Hook - Thinking a Happy Thought,3,C+,1,Fortyborn,
Be Our Guest,3,C+/B-,1,Fortyborn,
Maximus - Relentless Pursuer,3,C+/B-,1,Fortyborn,
Rafiki - Mysterious Sage,3,C+/B-,1,Fortyborn,
Hans - Scheming Prince,3,C+/B-,1,Fortyborn,
Cerberus - Three-Headed Dog,3,C+/B-,1,Fortyborn,
Control Your Temper!,1,D,1,Fortyborn,
Shield of Virtue,1,D,1,Fortyborn,
Dr. Facilier - Charlatan,1,D,1,Fortyborn,
Gramma Tala - Storyteller,1,D,1,Fortyborn,
Magic Broom - Bucket Brigade,1,D,1,Fortyborn,
One Jump Ahead,1,D,1,Fortyborn,
Sebastian - Court Composer,1,D,1,Fortyborn,
Ariel - Spectacular Singer,1,D,1,Fortyborn,
Iago - Loud-Mouthed Parrot,1,D,1,Fortyborn,
Plasma Blaster,1,D,1,Fortyborn,
Hades - King of Olympus,1,D,1,Fortyborn,
Befuddle,1,D-,1,Fortyborn,
He's Got a Sword!,1,D-,1,Fortyborn,
Healing Glow,1,D-,1,Fortyborn,
Magic Golden Flower,1,D-,1,Fortyborn,
Stampede,1,D-,1,Fortyborn,
Timon - Grub Rustler,1,D-,1,Fortyborn,
Vicious Betrayal,1,D-,1,Fortyborn,
Ransack,1,D-,1,Fortyborn,
Stolen Scimitar,1,D-,1,Fortyborn,
Ariel - Whoseit Collector,1,D-,1,Fortyborn,
Hakuna Matata,1,D-,1,Fortyborn,
Lady Tremaine - Wicked Stepmother,1,D-,1,Fortyborn,
Aladdin - Cornered Swordsman,1,D-/F,1,Fortyborn,
Poisoned Apple,1,D-/F,1,Fortyborn,
Dinglehopper,1,D+,1,Fortyborn,
HeiHei - Boat Snack,1,D+,1,Fortyborn,
Olaf - Friendly Snowman,1,D+,1,Fortyborn,
Aladdin - Prince Ali,1,D+,1,Fortyborn,
Lantern,1,D+,1,Fortyborn,
Megara - Pulling the Strings,1,D+,1,Fortyborn,
Mickey Mouse - Detective,1,D+,1,Fortyborn,
Anna - Heir to Arendelle,1,D+,1,Fortyborn,
Belle - Strange but Special,1,D+,1,Fortyborn,
Elsa - Ice Surfer,1,D+,1,Fortyborn,
Minnie Mouse - Always Classy,1,D+,1,Fortyborn,
Jafar - Keeper of Secrets,1,D+,1,Fortyborn,
A Whole New World,1,D+,1,Fortyborn,
Donald Duck - Musketeer,1,D+,1,Fortyborn,
Starkey - Hook's Henchman,1,D+,1,Fortyborn,
Rapunzel - Gifted with Healing,1,D+,1,Fortyborn,
Gantu - Galactic Federation Captain,1,D+,1,Fortyborn,
Mickey Mouse - Artful Rogue,1,D+,1,Fortyborn,
Scar - Mastermind,1,D+,1,Fortyborn,
Tamatoa - Drab Little Crab,1,D+,1,Fortyborn,
Fan The Flames,0,F,1,Fortyborn,
Reflection,0,F,1,Fortyborn,
Work Together,0,F,1,Fortyborn,
Break,0,F,1,Fortyborn,
Dr. Facilier's Cards,0,F,1,Fortyborn,
Freeze,0,F,1,Fortyborn,
Frying Pan,0,F,1,Fortyborn,
Sudden Chill,0,F,1,Fortyborn,
Tangle,0,F,1,Fortyborn,
Do It Again!,0,F,1,Fortyborn,
Fishbone Quill,0,F,1,Fortyborn,
If It's Not Baroque,0,F,1,Fortyborn,
Just in Time,0,F,1,Fortyborn,
The Beast is Mine!,0,F,1,Fortyborn,
Ursula's Shell Necklace,0,F,1,Fortyborn,
Eye of the Fates,0,F,1,Fortyborn,
Musketeer Tabard,0,F,1,Fortyborn,
Sword of Truth,0,F,1,Fortyborn,
Steal from the Rich,0,F,1,Fortyborn,
Cut to the Chase,0,F/D-,1,Fortyborn,
Fairy Godmother - Mystic Armorer,5,A,2,Frank Karsten,
Cogsworth - Grandfather Clock,5,A,2,Frank Karsten,
Beast - Tragic Hero,5,A,2,Frank Karsten,
Beast - Relentless,5,A,2,Frank Karsten,
The Queen - Commanding Presence,5,A,2,Frank Karsten,
Kronk - Junior Chipmunk,5,A,2,Frank Karsten,
Yzma - Scary Beyond All Reason,5,A,2,Frank Karsten,
Snow White - Well Wisher,5,A,2,Frank Karsten,
Lady Tremaine - Imperious Queen,5,A,2,Frank Karsten,
Beast - Selfless Protector,5,A,2,Frank Karsten,
Scar - Vicious Cheater,4,B,2,Frank Karsten,
Namaari - Nemesis,4,B,2,Frank Karsten,
Rabbit - Reluctant Host,4,B,2,Frank Karsten,
Flynn Rider - His Own Biggest Fan,4,B,2,Frank Karsten,
Cobra Bubbles - Just a Social Worker,4,B,2,Frank Karsten,
Madam Mim - Purple Dragon,4,B,2,Frank Karsten,
Daisy Duck - Secret Agent,4,B,2,Frank Karsten,
Winnie The Pooh - Hunny Wizard,4,B,2,Frank Karsten,
Virana - Fang Chief,4,B,2,Frank Karsten,
Card Soldiers - Full Deck,4,B,2,Frank Karsten,
Happy - Good-Natured,4,B,2,Frank Karsten,
Fairy Godmother - Pure Heart,4,B,2,Frank Karsten,
Li Shang - Archery Instructor,4,B,2,Frank Karsten,
Fairy Godmother - Here to Help,4,B,2,Frank Karsten,
Yzma - Without Beauty Sleep,4,B,2,Frank Karsten,
Donald Duck - Not Again!,4,B,2,Frank Karsten,
Queen of Hearts - Capricious Monarch,4,B,2,Frank Karsten,
Donald Duck - Deep-Sea Diver,4,B,2,Frank Karsten,
Ratigan - Criminal Mastermind,4,B,2,Frank Karsten,
Sleepy - Nodding Off,4,B,2,Frank Karsten,
King Louie - Jungle VIP,4,B,2,Frank Karsten,
Madam Mim - Snake,4,B,2,Frank Karsten,
The Prince - Never Gives Up,4,B,2,Frank Karsten,
Hypnotize,4,B,2,Frank Karsten,
Mulan - Soldier in Training,4,B-,2,Frank Karsten,
Tuk Tuk - Wrecking Ball,4,B-,2,Frank Karsten,
Lumiere - Hotheaded Candelabra,4,B-,2,Frank Karsten,
Pawpsicle,4,B-,2,Frank Karsten,
Snow White - Lost in the Forest,4,B-,2,Frank Karsten,
Ring The Bell,4,B-,2,Frank Karsten,
Painting the Roses Red,4,B-,2,Frank Karsten,
Fidget - Ratigan's Henchman,4,B-,2,Frank Karsten,
Improvise,4,B-,2,Frank Karsten,
The Queen - Regal Monarch,4,B-,2,Frank Karsten,
Charge!,4,B-,2,Frank Karsten,
Chip the Teacup - Gentle Soul,4,B-,2,Frank Karsten,
Owl - Logical Lecturer,4,B-,2,Frank Karsten,
Cruella De Vil - Perfectly Wretched,4,B-,2,Frank Karsten,
Lawrence - Jealous Manservant,4,B-,2,Frank Karsten,
Grand Pabbie - Oldest and Wisest,4,B-,2,Frank Karsten,
Cheshire Cat - From the Shadows,4,B-,2,Frank Karsten,
Raya - Leader of Heart,4,B-,2,Frank Karsten,
Queen of Hearts - Sensing Weakness,4,B+,2,Frank Karsten,
Gaston - Intellectual Powerhouse,4,B+,2,Frank Karsten,
Alice - Growing Girl,4,B+,2,Frank Karsten,
Sisu - Divine Water Dragon,4,B+,2,Frank Karsten,
Belle - Hidden Archer,4,B+,2,Frank Karsten,
Hercules - Divine Hero,4,B+,2,Frank Karsten,
Mufasa - Betrayed Leader,4,B+,2,Frank Karsten,
Merlin - Rabbit,4,B+,2,Frank Karsten,
Pacha - Village Leader,4,B+,2,Frank Karsten,
Little John - Loyal Friend,4,B+,2,Frank Karsten,
Jafar - Dreadnought,4,B+,2,Frank Karsten,
Strength of a Raging Fire,4,B+,2,Frank Karsten,
World's Greatest Criminal Mind,4,B+,2,Frank Karsten,
Let the Storm Rage On,4,B+,2,Frank Karsten,
Cinderella - Stouthearted,4,B+,2,Frank Karsten,
Merlin - Crab,4,B+,2,Frank Karsten,
Minnie Mouse - Stylish Surfer,4,B+,2,Frank Karsten,
Lucifer - Cunning Cat,4,B+,2,Frank Karsten,
Madam Mim - Fox,4,B+,2,Frank Karsten,
Shere Khan - Menacing Predator,4,B+,2,Frank Karsten,
Dr. Facilier - Fortune Teller,4,B+,2,Frank Karsten,
HeiHei - Persistent Presence,4,B+,2,Frank Karsten,
Peter Pan's Shadow - Not Sewn On,4,B+,2,Frank Karsten,
Ray - Easygoing Firefly,4,B+,2,Frank Karsten,
Chief Bogo - Respected Officer,3,C,2,Frank Karsten,
Enchantress - Unexpected Judge,3,C,2,Frank Karsten,
Kuzco - Wanted Llama,3,C,2,Frank Karsten,
Basil - Of Baker Street,3,C,2,Frank Karsten,
James - Role Model,3,C,2,Frank Karsten,
Mother Gothel - Withered and Wicked,3,C,2,Frank Karsten,
Eudora - Accomplished Seamstress,3,C,2,Frank Karsten,
Baloo - Fun-Loving Bear,3,C,2,Frank Karsten,
Prince Naveen - Penniless Royal,3,C,2,Frank Karsten,
Cheshire Cat - Always Grinning,3,C,2,Frank Karsten,
Caterpillar - Calm and Collected,3,C,2,Frank Karsten,
Minnie Mouse - Zipping Around,3,C,2,Frank Karsten,
Tigger - One of a Kind,3,C,2,Frank Karsten,
Basil - Perceptive Investigator,3,C,2,Frank Karsten,
Nothing to Hide,3,C,2,Frank Karsten,
Winnie The Pooh - Having a Think,3,C,2,Frank Karsten,
Nick Wilde - Wily Fox,3,C,2,Frank Karsten,
Benja - Guardian of the Dragon Gem,3,C,2,Frank Karsten,
Gumbo Pot,3,C,2,Frank Karsten,
Arthur - Trained Swordsman,3,C,2,Frank Karsten,
