Card Name,Rating - Draftmancer,Rating - AF,Set,Source,Notes
Rapunzel - Gifted with Healing,5,A,1,Frank Karsten,
Tinker Bell - Giant Fairy,5,A,1,Frank Karsten,
Kuzco - Temperamental Emperor,5,A,1,Frank Karsten,
Maui - Hero to All,5,A,1,Frank Karsten,
Grab Your Sword,5,A,1,Frank Karsten,
Genie - On the Job,5,A,1,Frank Karsten,
The Queen - Wicked and Vain,5,A,1,Frank Karsten,
Scar - Mastermind,5,A,1,Frank Karsten,
Hades - Infernal Schemer,5,A,1,Frank Karsten,
Maximus - Palace Horse,5,A,1,Frank Karsten,
Dr. Facilier - Agent Provocateur,5,A,1,Frank Karsten,
John Silver - Alien Pirate,5,A,1,Frank Karsten,
Stitch - Carefree Surfer,5,A,1,Frank Karsten,
Marshmallow - Persistent Guardian,5,A,1,Frank Karsten,
Maleficent - Uninvited,5,A,1,Frank Karsten,
Te Ka - Heartless,5,A,1,Frank Karsten,
Mad Hatter - Gracious Host,5,B+,1,Frank Karsten,
Jasmine - Queen of Agrabah,5,B+,1,Frank Karsten,
Be Prepared,4,B+,1,Frank Karsten,
Maximus - Relentless Pursuer,5,B+,1,Frank Karsten,
Simba - Protective Cub,5,B+,1,Frank Karsten,
Elsa - Spirit of Winter,4,B+,1,Frank Karsten,
Elsa - Snow Queen,5,B+,1,Frank Karsten,
Let It Go,5,B+,1,Frank Karsten,
Flynn Rider - Charming Rogue,5,B+,1,Frank Karsten,
Stitch - Rock Star,5,B+,1,Frank Karsten,
Tinker Bell - Most Helpful,5,B+,1,Frank Karsten,
Hades - Lord of the Underworld,4,B+,1,Frank Karsten,
Dragon Fire,4,B+,1,Frank Karsten,
Hans - Thirteenth in Line,5,B+,1,Frank Karsten,
Aladdin - Heroic Outlaw,5,B+,1,Frank Karsten,
Goofy - Daredevil,5,B+,1,Frank Karsten,
Mufasa - King of the Pride Lands,5,B+,1,Frank Karsten,
Stitch - Abomination,5,B+,1,Frank Karsten,
Friends On The Other Side,5,B+,1,Frank Karsten,
Tigger - Wonderful Thing,5,B+,1,Frank Karsten,
Pongo - Ol' Rascal,5,B,1,Frank Karsten,
Mulan - Imperial Soldier,5,B,1,Frank Karsten,
Goofy - Musketeer,5,B,1,Frank Karsten,
Cerberus - Three-Headed Dog,5,B,1,Frank Karsten,
Robin Hood - Unrivaled Archer,5,B,1,Frank Karsten,
Mother Gothel - Selfish Manipulator,5,B,1,Frank Karsten,
Mickey Mouse - Detective,4,B,1,Frank Karsten,
Chief Tui - Respected Leader,5,B,1,Frank Karsten,
Hercules - True Hero,5,B,1,Frank Karsten,
Maleficent - Sorceress,5,B,1,Frank Karsten,
Mickey Mouse - Brave Little Tailor,5,B,1,Frank Karsten,
Beast - Wolfsbane,4,B,1,Frank Karsten,
Smash,5,B,1,Frank Karsten,
Captain - Colonel's Lieutenant,5,B,1,Frank Karsten,
Kronk - Right-Hand Man,5,B,1,Frank Karsten,
Sven - Official Ice Deliverer,5,B,1,Frank Karsten,
The Wardrobe - Belle's Confidant,5,B,1,Frank Karsten,
Mickey Mouse - Steamboat Pilot,5,B,1,Frank Karsten,
Rafiki - Mysterious Sage,4,B,1,Frank Karsten,
Philoctetes - Trainer of Heroes,5,B,1,Frank Karsten,
Jumba Jookiba - Renegade Scientist,5,B,1,Frank Karsten,
Captain Hook - Forceful Duelist,5,B,1,Frank Karsten,
Tinker Bell - Peter Pan's Ally,4,B,1,Frank Karsten,
Aurora - Briar Rose,5,B,1,Frank Karsten,
One Jump Ahead,3,B-,1,Frank Karsten,
Jasper - Common Crook,4,B-,1,Frank Karsten,
Triton - The Sea King,4,B-,1,Frank Karsten,
Gramma Tala - Storyteller,4,B-,1,Frank Karsten,
Fire The Cannons!,3,B-,1,Frank Karsten,
Maleficent - Monstrous Dragon,4,B-,1,Frank Karsten,
Beast - Hardheaded,4,B-,1,Frank Karsten,
Pascal - Rapunzel's Companion,4,B-,1,Frank Karsten,
Lantern,3,B-,1,Frank Karsten,
Beast's Mirror,4,B-,1,Frank Karsten,
Aurora - Dreaming Guardian,4,B-,1,Frank Karsten,
Hans - Scheming Prince,4,B-,1,Frank Karsten,
Tinker Bell - Tiny Tactician,4,B-,1,Frank Karsten,
Ursula - Power Hungry,3,B-,1,Frank Karsten,
Peter Pan - Never Landing,4,B-,1,Frank Karsten,
Jetsam - Ursula's Spy,4,B-,1,Frank Karsten,
Merlin - Self-Appointed Mentor,4,B-,1,Frank Karsten,
Lefou - Instigator,4,B-,1,Frank Karsten,
Stitch - New Dog,4,B-,1,Frank Karsten,
Belle - Strange but Special,4,B-,1,Frank Karsten,
Archimedes - Highly Educated Owl,4,C+,1,Frank Karsten,
Flounder - Voice of Reason,4,C+,1,Frank Karsten,
Goons - Maleficent's Underlings,4,C+,1,Frank Karsten,
Sergeant Tibbs - Courageous Cat,4,C+,1,Frank Karsten,
Duke of Weselton - Opportunistic Official,4,C+,1,Frank Karsten,
Prince Eric - Dashing and Brave,4,C+,1,Frank Karsten,
Donald Duck - Musketeer,4,C+,1,Frank Karsten,
Heihei - Boat Snack,4,C+,1,Frank Karsten,
You Have Forgotten Me,4,C+,1,Frank Karsten,
Elsa - Queen Regent,4,C+,1,Frank Karsten,
Genie - The Ever Impressive,4,C+,1,Frank Karsten,
Donald Duck - Boisterous Fowl,4,C+,1,Frank Karsten,
Minnie Mouse - Beloved Princess,4,C+,1,Frank Karsten,
Jasmine - Disguised,4,C+,1,Frank Karsten,
Mickey Mouse - True Friend,4,C+,1,Frank Karsten,
Kristoff - Official Ice Master,4,C+,1,Frank Karsten,
Jafar - Wicked Sorcerer,4,C+,1,Frank Karsten,
Be Our Guest,4,C+,1,Frank Karsten,
Cruella de Vil - Miserable as Usual,4,C+,1,Frank Karsten,
Simba - Rightful Heir,2,C+,1,Frank Karsten,
Jafar - Keeper of Secrets,4,C+,1,Frank Karsten,
Mickey Mouse - Musketeer,4,C+,1,Frank Karsten,
Cheshire Cat - Not All There,4,C+,1,Frank Karsten,
Zeus - God of Lightning,2,C+,1,Frank Karsten,
Aurora - Regal Princess,3,C,1,Frank Karsten,
Te Ka - The Burning One,1,C,1,Frank Karsten,
Mickey Mouse - Wayward Sorcerer,3,C,1,Frank Karsten,
Mother Knows Best,1,C,1,Frank Karsten,
Magic Mirror,1,C,1,Frank Karsten,
Cinderella - Gentle and Kind,3,C,1,Frank Karsten,
Maleficent - Sinister Visitor,3,C,1,Frank Karsten,
Gaston - Arrogant Hunter,3,C,1,Frank Karsten,
Captain Hook - Captain of the Jolly Roger,1,C,1,Frank Karsten,
Simba - Future King,3,C,1,Frank Karsten,
Yzma - Alchemist,3,C,1,Frank Karsten,
Simba - Returned King,3,C,1,Frank Karsten,
Megara - Pulling the Strings,3,C,1,Frank Karsten,
Maurice - World-Famous Inventor,3,C,1,Frank Karsten,
Maui - Demigod,3,C,1,Frank Karsten,
Ariel - Spectacular Singer,3,C,1,Frank Karsten,
Rapunzel - Letting Down Her Hair,1,C,1,Frank Karsten,
Scepter of Arendelle,3,C,1,Frank Karsten,
Develop Your Brain,3,C,1,Frank Karsten,
Horace - No-Good Scoundrel,3,C,1,Frank Karsten,
Peter Pan - Fearless Fighter,1,C,1,Frank Karsten,
Prince Phillip - Dragonslayer,1,C,1,Frank Karsten,
Pumbaa - Friendly Warthog,3,C,1,Frank Karsten,
Mr. Smee - Loyal First Mate,3,C,1,Frank Karsten,
Scar - Fiery Usurper,3,C,1,Frank Karsten,
Dr. Facilier - Remarkable Gentleman,3,C,1,Frank Karsten,
Starkey - Hook's Henchman,3,C,1,Frank Karsten,
Mickey Mouse - Artful Rogue,1,C,1,Frank Karsten,
Flotsam - Ursula's Spy,1,C,1,Frank Karsten,
Ariel - On Human Legs,3,C,1,Frank Karsten,
Lilo - Making a Wish,1,C,1,Frank Karsten,
Maleficent - Biding Her Time,1,C,1,Frank Karsten,
Captain Hook - Thinking a Happy Thought,0,C-,1,Frank Karsten,
Moana - Of Motunui,2,C-,1,Frank Karsten,
Genie - Powers Unleashed,0,C-,1,Frank Karsten,
Aladdin - Cornered Swordsman,2,C-,1,Frank Karsten,
Magic Broom - Bucket Brigade,2,C-,1,Frank Karsten,
Lilo - Galactic Hero,2,C-,1,Frank Karsten,
Tamatoa - So Shiny!,2,C-,1,Frank Karsten,
Captain Hook - Ruthless Pirate,0,C-,1,Frank Karsten,
Minnie Mouse - Always Classy,2,C-,1,Frank Karsten,
Olaf - Friendly Snowman,2,C-,1,Frank Karsten,
Ursula's Cauldron,0,C-,1,Frank Karsten,
Fan the Flames,2,C-,1,Frank Karsten,
Coconut Basket,2,C-,1,Frank Karsten,
Stolen Scimitar,2,C-,1,Frank Karsten,
Dr. Facilier - Charlatan,2,C-,1,Frank Karsten,
Belle - Inventive Engineer,2,C-,1,Frank Karsten,
Iago - Loud-Mouthed Parrot,2,C-,1,Frank Karsten,
Eye of the Fates,2,C-,1,Frank Karsten,
Vicious Betrayal,2,C-,1,Frank Karsten,
Anna - Heir to Arendelle,2,C-,1,Frank Karsten,
Donald Duck - Strutting His Stuff,2,C-,1,Frank Karsten,
Abu - Mischievous Monkey,2,C-,1,Frank Karsten,
Aladdin - Street Rat,2,C-,1,Frank Karsten,
Lefou - Bumbler,2,C-,1,Frank Karsten,
Control Your Temper!,2,C-,1,Frank Karsten,
Elsa - Ice Surfer,2,C-,1,Frank Karsten,
Moana - Chosen by the Ocean,2,C-,1,Frank Karsten,
Timon - Grub Rustler,2,C-,1,Frank Karsten,
Tamatoa - Drab Little Crab,2,C-,1,Frank Karsten,
Fishbone Quill,2,C-,1,Frank Karsten,
White Rabbit's Pocket Watch,2,C-,1,Frank Karsten,
A Whole New World,0,C-,1,Frank Karsten,
Aladdin - Prince Ali,0,D,1,Frank Karsten,
Shield of Virtue,0,D,1,Frank Karsten,
Part of Your World,0,D,1,Frank Karsten,
Poisoned Apple,0,D,1,Frank Karsten,
Hakuna Matata,0,D,1,Frank Karsten,
Dinglehopper,0,D,1,Frank Karsten,
Sebastian - Court Composer,0,D,1,Frank Karsten,
Lady Tremaine - Wicked Stepmother,0,D,1,Frank Karsten,
Scar - Shameless Firebrand,0,D,1,Frank Karsten,
Gantu - Galactic Federation Captain,0,D,1,Frank Karsten,
Magic Golden Flower,0,D,1,Frank Karsten,
Plasma Blaster,0,D,1,Frank Karsten,
He's Got a Sword!,0,D,1,Frank Karsten,
Stampede,0,D,1,Frank Karsten,
Sudden Chill,0,D,1,Frank Karsten,
The Beast is Mine!,0,D,1,Frank Karsten,
Ariel - Whoseit Collector,0,D,1,Frank Karsten,
Healing Glow,0,D,1,Frank Karsten,
Hades - King of Olympus,0,D,1,Frank Karsten,
Work Together,0,D,1,Frank Karsten,
Freeze,0,F,1,Frank Karsten,
Sword of Truth,0,F,1,Frank Karsten,
Just in Time,0,F,1,Frank Karsten,
Cut to the Chase,0,F,1,Frank Karsten,
Break,0,F,1,Frank Karsten,
Frying Pan,0,F,1,Frank Karsten,
Befuddle,0,F,1,Frank Karsten,
Ransack,0,F,1,Frank Karsten,
Reflection,0,F,1,Frank Karsten,
Tangle,0,F,1,Frank Karsten,
Steal from the Rich,0,F,1,Frank Karsten,
Ursula's Shell Necklace,0,F,1,Frank Karsten,
Do It Again!,0,F,1,Frank Karsten,
Musketeer Tabard,0,F,1,Frank Karsten,
Dr. Facilier's Cards,0,F,1,Frank Karsten,
If it's not Baroque,0,F,1,Frank Karsten,
Fairy Godmother - Mystic Armorer,5,A,2,Frank Karsten,
Cogsworth - Grandfather Clock,5,A,2,Frank Karsten,
Beast - Tragic Hero,5,A,2,Frank Karsten,
Beast - Relentless,5,A,2,Frank Karsten,
The Queen - Commanding Presence,5,A,2,Frank Karsten,
Kronk - Junior Chipmunk,5,A,2,Frank Karsten,
Yzma - Scary Beyond All Reason,5,A,2,Frank Karsten,
Snow White - Well Wisher,5,A,2,Frank Karsten,
Lady Tremaine - Imperious Queen,5,A,2,Frank Karsten,
Beast - Selfless Protector,5,A,2,Frank Karsten,
Queen of Hearts - Sensing Weakness,5,B+,2,Frank Karsten,
Gaston - Intellectual Powerhouse,4,B+,2,Frank Karsten,
Alice - Growing Girl,5,B+,2,Frank Karsten,
Sisu - Divine Water Dragon,4,B+,2,Frank Karsten,
Belle - Hidden Archer,4,B+,2,Frank Karsten,
Hercules - Divine Hero,5,B+,2,Frank Karsten,
Mufasa - Betrayed Leader,5,B+,2,Frank Karsten,
Merlin - Rabbit,4,B+,2,Frank Karsten,
Pacha - Village Leader,5,B+,2,Frank Karsten,
