Card Name,Rating - Draftmancer,Rating - AF,Set,Source,Notes,,LowInkValue,RegularInkValue,,PowerBand Options,retail Power Band
Rapunzel - Gifted with Healing,5,A,1,Frank Karsten,,,5,5,,Ink Ratio Options,Regular
Tinker Bell - Giant Fairy,5,A,1,Frank Karsten,,,5,5,,Card Evaluations Source,FrankKarsten
Kuzco - Temperamental Emperor,5,A,1,Frank Karsten,,,5,5,,,
Maui - Hero to All,5,A,1,Frank Karsten,,,5,5,,,
Grab Your Sword,5,A,1,Frank Karsten,,,5,5,,,
Genie - On the Job,5,A,1,Frank Karsten,,,5,5,,,
The Queen - Wicked and Vain,5,A,1,Frank Karsten,,,5,5,,,
Scar - Mastermind,5,A,1,Frank Karsten,,,5,5,,,
Hades - Infernal Schemer,5,A,1,Frank Karsten,,,5,5,,,
Maximus - Palace Horse,5,A,1,Frank Karsten,,,5,5,,,
Dr. Facilier - Agent Provocateur,5,A,1,Frank Karsten,,,5,5,,,
John Silver - Alien Pirate,5,A,1,Frank Karsten,,,5,5,,,
Stitch - Carefree Surfer,5,A,1,Frank Karsten,,,5,5,,,
Marshmallow - Persistent Guardian,5,A,1,Frank Karsten,,,5,5,,,
Maleficent - Uninvited,5,A,1,Frank Karsten,,,5,5,,,
Te Ka - Heartless,5,A,1,Frank Karsten,,,5,5,,,
Mad Hatter - Gracious Host,4,B+,1,Frank Karsten,,,5,4,,,
Jasmine - Queen of Agrabah,4,B+,1,Frank Karsten,,,5,4,,,
Be Prepared,4,B+,1,Frank Karsten,,,4,4,,,
Maximus - Relentless Pursuer,4,B+,1,Frank Karsten,,,5,4,,,
Simba - Protective Cub,4,B+,1,Frank Karsten,,,5,4,,,
Elsa - Spirit of Winter,4,B+,1,Frank Karsten,,,4,4,,,
Elsa - Snow Queen,4,B+,1,Frank Karsten,,,5,4,,,
Let It Go,4,B+,1,Frank Karsten,,,5,4,,,
Flynn Rider - Charming Rogue,4,B+,1,Frank Karsten,,,5,4,,,
Stitch - Rock Star,4,B+,1,Frank Karsten,,,5,4,,,
Tinker Bell - Most Helpful,4,B+,1,Frank Karsten,,,5,4,,,
Hades - Lord of the Underworld,4,B+,1,Frank Karsten,,,4,4,,,
Dragon Fire,4,B+,1,Frank Karsten,,,4,4,,,
Hans - Thirteenth in Line,4,B+,1,Frank Karsten,,,5,4,,,
Aladdin - Heroic Outlaw,4,B+,1,Frank Karsten,,,5,4,,,
Goofy - Daredevil,4,B+,1,Frank Karsten,,,5,4,,,
Mufasa - King of the Pride Lands,4,B+,1,Frank Karsten,,,5,4,,,
Stitch - Abomination,4,B+,1,Frank Karsten,,,5,4,,,
Friends On The Other Side,4,B+,1,Frank Karsten,,,5,4,,,
Tigger - Wonderful Thing,4,B+,1,Frank Karsten,,,5,4,,,
