Card Name,id*,Franchise,Notes
99 Puppies,99puppies,101 Dalmations,
Captain - Colonel's Lieutenant,captaincolonelslieutenant,101 Dalmations,
Cruella De Vil - Fashionable Cruiser,cruelladevilfashionablecruiser,101 Dalmations,
Cruella De Vil - Miserable as Usual,cruelladevilmiserableasusual,101 Dalmations,
Cruella De Vil - Perfectly Wretched,cruelladevilperfectlywretched,101 Dalmations,
Dalmatian Puppy - Tail Wagger,dalmatianpuppytailwagger,101 Dalmations,
De Vil Manor - Cruella's Estate,devilmanorcruellasestate,101 Dalmations,
Horace - No-Good Scoundrel,horacenogoodscoundrel,101 Dalmations,
Jasper - Common Crook,jaspercommoncrook,101 Dalmations,
Lucky - The 15th Puppy,luckythe15thpuppy,101 Dalmations,
Patch - Intimidating Pup,patchintimidatingpup,101 Dalmations,
Perdita - Devoted Mother,perditadevotedmother,101 Dalmations,
Pongo - Determined Father,pongodeterminedfather,101 Dalmations,
Pongo - Ol' Rascal,pongoolrascal,101 Dalmations,
Rolly - Hungry Pup,rollyhungrypup,101 Dalmations,
Sergeant Tibbs - Courageous Cat,sergeanttibbscourageouscat,101 Dalmations,
Sudden Chill,suddenchill,101 Dalmations,
A Whole New World,awholenewworld,Aladdin,
Abu - Bold Helmsman,abuboldhelmsman,Aladdin,
Abu - Mischievous Monkey,abumischievousmonkey,Aladdin,
Agrabah - Marketplace,agrabahmarketplace,Aladdin,
Aladdin - Brave Rescuer,aladdinbraverescuer,Aladdin,
Aladdin - Cornered Swordsman,aladdincorneredswordsman,Aladdin,
Aladdin - Fearless Navigator,aladdinfearlessnavigator,Aladdin,
Aladdin - Heroic Outlaw,aladdinheroicoutlaw,Aladdin,
Aladdin - Intrepid Commander,aladdinintrepidcommander,Aladdin,
Aladdin - Prince Ali,aladdinprinceali,Aladdin,
Aladdin - Resolute Swordsman,aladdinresoluteswordsman,Aladdin,
Aladdin - Street Rat,aladdinstreetrat,Aladdin,
Bend To My Will,bendtomywill,Aladdin,
Blast From Your Past,blastfromyourpast,Aladdin,
Divebomb,divebomb,Aladdin,
Energy Blast,energyblast,Aladdin,
Finders Keepers,finderskeepers,Aladdin,
Friend Like Me,friendlikeme,Aladdin,
Genie - Cramped in the Lamp,geniecrampedinthelamp,Aladdin,
Genie - Excited Shipbuilder,genieexcitedshipbuilder,Aladdin,
Genie - Main Attraction,geniemainattraction,Aladdin,
Genie - On the Job,genieonthejob,Aladdin,
Genie - Powers Unleashed,geniepowersunleashed,Aladdin,
Genie - Supportive Friend,geniesupportivefriend,Aladdin,
Genie - The Ever Impressive,genietheeverimpressive,Aladdin,
Genie - Wish Fulfilled,geniewishfulfilled,Aladdin,
Genie - Wonderful Trickster,geniewonderfultrickster,Aladdin,
He's Got a Sword!,hesgotasword!,Aladdin,
Hypnotic Strength,hypnoticstrength,Aladdin,
Iago - Fake Flamingo,iagofakeflamingo,Aladdin,
Iago - Loud-Mouthed Parrot,iagoloudmouthedparrot,Aladdin,
Iago - Pretty Polly,iagoprettypolly,Aladdin,
Iago - Reappearing Parrot,iagoreappearingparrot,Aladdin,
Jafar - Dreadnought,jafardreadnought,Aladdin,
Jafar - Keeper of Secrets,jafarkeeperofsecrets,Aladdin,
Jafar - Lamp Thief,jafarlampthief,Aladdin,
Jafar - Power-Hungry Vizier,jafarpowerhungryvizier,Aladdin,
Jafar - Royal Vizier,jafarroyalvizier,Aladdin,
Jafar - Striking Illusionist,jafarstrikingillusionist,Aladdin,
Jafar - Tyrannical Hypnotist,jafartyrannicalhypnotist,Aladdin,
Jafar - Wicked Sorcerer,jafarwickedsorcerer,Aladdin,
Jasmine - Desert Warrior,jasminedesertwarrior,Aladdin,
Jasmine - Disguised,jasminedisguised,Aladdin,
Jasmine - Heir of Agrabah,jasmineheirofagrabah,Aladdin,
Jasmine - Queen of Agrabah,jasminequeenofagrabah,Aladdin,
Jasmine - Rebellious Princess,jasminerebelliousprincess,Aladdin,
Jasmine - Royal Commodore,jasmineroyalcommodore,Aladdin,
Jasmine - Royal Seafarer,jasmineroyalseafarer,Aladdin,
Lead The Way,leadtheway,Aladdin,
Magic Carpet - Amazing Flier,magiccarpetamazingflier,Aladdin,
Magic Carpet - Flying Rug,magiccarpetflyingrug,Aladdin,
Magical Aid,magicalaid,Aladdin,
One Jump Ahead,onejumpahead,Aladdin,
Rajah - Royal Protector,rajahroyalprotector,Aladdin,
Razoul - Palace Guard,razoulpalaceguard,Aladdin,
Seeking the Half Crown,seekingthehalfcrown,Aladdin,
Stolen Scimitar,stolenscimitar,Aladdin,
The Lamp,thelamp,Aladdin,
Thievery,thievery,Aladdin,
Treasure Guardian - Protector of the Cave,treasureguardianprotectorofthecave,Aladdin,
A Very Merry Unbirthday,averymerryunbirthday,Alice in Wonderland,
Alice - Growing Girl,alicegrowinggirl,Alice in Wonderland,
Alice - Savvy Sailor,alicesavvysailor,Alice in Wonderland,
Alice - Tea Alchemist,aliceteaalchemist,Alice in Wonderland,
Card Soldier's Spear,cardsoldiersspear,Alice in Wonderland,
Card Soldiers - Full Deck,cardsoldiersfulldeck,Alice in Wonderland,
Caterpillar - Calm and Collected,caterpillarcalmandcollected,Alice in Wonderland,
Cheshire Cat - Always Grinning,cheshirecatalwaysgrinning,Alice in Wonderland,
Cheshire Cat - From the Shadows,cheshirecatfromtheshadows,Alice in Wonderland,
Cheshire Cat - Not All There,cheshirecatnotallthere,Alice in Wonderland,
Croquet Mallet,croquetmallet,Alice in Wonderland,
Falling Down the Rabbit Hole,fallingdowntherabbithole,Alice in Wonderland,
King of Hearts - Monarch of Wonderland,kingofheartsmonarchofwonderland,Alice in Wonderland,
Lose The Way,losetheway,Alice in Wonderland,
Mad Hatter - Eccentric Host,madhattereccentrichost,Alice in Wonderland,
