Card Name,Franchise
Atlantica - Concert Hall,The Little Mermaid
Ursula's Trickery,The Little Mermaid
Cursed Merfolk - Ursula's Handiwork,The Little Mermaid
Triton's Decree,The Little Mermaid
Sebastian - Court Composer,The Little Mermaid
Poor Unfortunate Souls,The Little Mermaid
Ursula's Cauldron,The Little Mermaid
Ursula - Deceiver,The Little Mermaid
Ariel's Grotto - A Secret Place,The Little Mermaid
Max - Loyal Sheepdog,The Little Mermaid
Sign The Scroll,The Little Mermaid
Part of Your World,The Little Mermaid
"Flotsam - Ursula's ""Baby""",The Little Mermaid
Ursula's Plan,The Little Mermaid
Ursula's Lair - Eye of the Storm,The Little Mermaid
"Jetsam - Ursula's ""Baby""",The Little Mermaid
Ursula's Shell Necklace,The Little Mermaid
Ariel - Spectacular Singer,The Little Mermaid
Prince Eric - Seafaring Prince,The Little Mermaid
Prince Eric - Dashing and Brave,The Little Mermaid
Scuttle - Expert on Humans,The Little Mermaid
Signed Contract,The Little Mermaid
Triton's Trident,The Little Mermaid
Ursula - Mad Sea Witch,The Little Mermaid
Ursula - Vanessa,The Little Mermaid
Flounder - Voice of Reason,The Little Mermaid
Hidden Cove - Tranquil Haven,The Little Mermaid
Dinglehopper,The Little Mermaid
Ursula - Sea Witch,The Little Mermaid
Flotsam - Riffraff,The Little Mermaid
Ursula - Deceiver of All,The Little Mermaid
Flounder - Collector's Companion,The Little Mermaid
Fishbone Quill,The Little Mermaid
Ariel - Singing Mermaid,The Little Mermaid
Ariel - On Human Legs,The Little Mermaid
Jetsam - Ursula's Spy,The Little Mermaid
Prince Eric - Expert Helmsman,The Little Mermaid
Ariel - Whoseit Collector,The Little Mermaid
Prince Eric - Ursula's Groom,The Little Mermaid
Ariel - Treasure Collector,The Little Mermaid
Ariel - Sonic Warrior,The Little Mermaid
Ursula - Sea Witch Queen,The Little Mermaid
Treasures Untold,The Little Mermaid
Flotsam & Jetsam - Entangling Eels,The Little Mermaid
Flotsam - Ursula's Spy,The Little Mermaid
Triton - Young Prince,The Little Mermaid
Ursula's Garden - Full of the Unfortunate,The Little Mermaid
Binding Contract,The Little Mermaid
Ursula - Eric's Bride,The Little Mermaid
Ariel - Determined Mermaid,The Little Mermaid
Triton - Discerning King,The Little Mermaid
Ariel - Adventurous Collector,The Little Mermaid
Jetsam - Riffraff,The Little Mermaid
The Boss Is On A Roll,The Little Mermaid
Ursula - Power Hungry,The Little Mermaid
Under The Sea,The Little Mermaid
Triton - The Sea King,The Little Mermaid
Triton - Champion of Atlantica,The Little Mermaid
Never Land - Mermaid Lagoon,Peter Pan
Prepare To Board!,Peter Pan
Break Free,Peter Pan
Captain Hook - Forceful Duelist,Peter Pan
Wendy Darling - Talented Sailor,Peter Pan
Wendy Darling - Courageous Captain,Peter Pan
Skull Rock - Isolated Fortress,Peter Pan
Peter Pan's Dagger,Peter Pan
Twin Fire,Peter Pan
Mr. Smee - Loyal First Mate,Peter Pan
Peter Pan - Shadow Finder,Peter Pan
Peter Pan - Never Landing,Peter Pan
Peter Pan - Never Land Hero,Peter Pan
Wendy Darling - Authority on Peter Pan,Peter Pan
Ambush!,Peter Pan
Peter Pan - Fearless Fighter,Peter Pan
The Plank,Peter Pan
Captain Hook - Underhanded,Peter Pan
Tinker Bell - Fast Flier,Peter Pan
Mr. Smee - Bumbling Mate,Peter Pan
Mr. Smee - Steadfast Mate,Peter Pan
You Can Fly!,Peter Pan
John Darling - Sophisticated Swordsman,Peter Pan
Nana - Darling Family Pet,Peter Pan
Fire the Cannons!,Peter Pan
Jolly Roger - Hook's Ship,Peter Pan
Michael Darling - Playful Swordsman,Peter Pan
Tootles - Lost Boy,Peter Pan
Captain Hook's Rapier,Peter Pan
Tinker Bell - Generous Fairy,Peter Pan
